id,title,credits,download_icon0,download_icon0_mirror,download_url,download_url_mirror,download_readme,download_readme_mirror,download_src,download_src_mirror,time_added,config_type,options,type,depends,visible
VPAD00001,VitaPad,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/VitaPad/master/Server/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/VPAD00001_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=50,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VPAD00001.vpk,https://raw.githubusercontent.com/Rinnegatamante/VitaPad/master/README.md,None,https://github.com/Rinnegatamante/VitaPad.git,None,1588341727,None,None,VPK,None,True
BTLSHPARN,BattleShipArena,DesiRED,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/BTLSHPARN_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BTLSHPARN.vpk,None,None,None,None,None,1588341726,None,None,VPK,None,True
DOGGYTEST,doggytwicevt,LeeStorm,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/DOGGYTEST_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/DOGGYTEST.vpk,None,None,None,None,None,1588341725,None,None,VPK,None,True
FRAN00002,HandyVITA,frangarcj,https://raw.githubusercontent.com/frangarcj/HandyVITA/master/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/FRAN00002_icon0.png,https://github.com/frangarcj/HandyVITA/releases/download/1.4-Henkaku/HandyVITA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/FRAN00002.vpk,https://raw.githubusercontent.com/frangarcj/HandyVITA/master/README.md,None,https://github.com/frangarcj/HandyVITA.git,None,1588341724,None,None,VPK,None,True
FRAN00001,SMSPlusVITA,frangarcj,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/FRAN00001_icon0.png,None,https://github.com/frangarcj/SMSplusVITA/releases/download/1.3.1-Henkaku/smsplusvita.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/FRAN00001.vpk,https://raw.githubusercontent.com/frangarcj/SMSplusVITA/master/README.md,None,https://github.com/frangarcj/SMSplusVITA.git,None,1588341723,None,None,VPK,None,True
SKOG00001,Snes9xVITA,skogaby & frangarcj,None,None,https://github.com/frangarcj/Snes9xVITA/releases/download/1.1-Henkaku/Snes9xVITA.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SKOG00001.vpk,https://raw.githubusercontent.com/frangarcj/Snes9xVITA/master/README.md,None,https://github.com/frangarcj/Snes9xVITA.git,None,1588341722,None,None,VPK,None,True
DEDALOX64,DaedalusX64,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/DaedalusX64-vitaGL/master/Source/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/DEDALOX64_icon0.png,https://github.com/Rinnegatamante/DaedalusX64-vitaGL/releases/download/Nightly/DaedalusX64.vpk,https://vitadb.rinnegatamante.it/get_hb_url.php?id=549|https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/DEDALOX64.vpk,https://raw.githubusercontent.com/Rinnegatamante/DaedalusX64-vitaGL/master/README.md,None,https://github.com/Rinnegatamante/DaedalusX64-vitaGL.git,None,1588341721,None,None,VPK,None,True
XXXX35570,Whitelist,Kankertje,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/XXXX35570_icon0.png,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/XXXX35570.vpk,None,None,None,None,None,1588341720,None,None,VPK,None,True
REGEDIT01_01,RegistryEditor,some1,None,None,https://github.com/some1psv/RegistryEditor/releases/download/v1.0/RegistryEditor.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/REGEDIT01_01.vpk,https://raw.githubusercontent.com/some1psv/RegistryEditor/master/README.md,None,https://github.com/some1psv/RegistryEditor.git,None,1588341719,None,None,VPK,None,True
SUDO00001,VitaSudoku,Rinnegatamante,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/SUDO00001_icon0.png,None,https://vitadb.rinnegatamante.it/get_hb_url.php?id=129,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SUDO00001.vpk,None,None,None,None,1588341718,None,None,VPK,None,True
URI000001,uriCaller,Freakler,https://raw.githubusercontent.com/Freakler/vita-uriCaller/master/resource/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/URI000001_icon0.png,https://github.com/Freakler/vita-uriCaller/releases/download/0.1/uriCaller.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/URI000001.vpk,https://raw.githubusercontent.com/Freakler/vita-uriCaller/master/README.md,None,https://github.com/Freakler/vita-uriCaller.git,None,1588341717,None,None,VPK,None,True
